# Describes mapping from Unicode Code pointer to Character code in iso8859_5 (['Bulgarian', 'Byelorussian', 'Macedonian', 'Russian', 'Serbian'])
# [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0 A1 0
A7 1 FD
AD 1 AD
401 C A1
40E 42 AE
451 C F1
45E 2 FE
2116 1 F0
