# Describes mapping from Unicode Code pointer to Character code in cp852 (['Central and Eastern Europe'])
# [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0 80 0
A0 1 FF
A4 1 CF
A7 1 F5
A8 1 F9
AB 1 AE
AC 1 AA
AD 1 F0
B0 1 F8
B4 1 EF
B8 1 F7
BB 1 AF
C1 2 B5
C4 1 8E
C7 1 80
C9 1 90
CB 1 D3
CD 2 D6
D3 1 E0
D4 1 E2
D6 1 99
D7 1 9E
DA 1 E9
DC 1 9A
DD 1 ED
DF 1 E1
E1 1 A0
E2 1 83
E4 1 84
E7 1 87
E9 1 82
EB 1 89
ED 1 A1
EE 1 8C
F3 1 A2
F4 1 93
F6 1 94
F7 1 F6
FA 1 A3
FC 1 81
FD 1 EC
102 2 C6
104 2 A4
106 1 8F
107 1 86
10C 1 AC
10D 1 9F
10E 1 D2
10F 1 D4
110 1 D1
111 1 D0
118 2 A8
11A 1 B7
11B 1 D8
139 2 91
13D 2 95
141 1 9D
142 1 88
143 2 E3
147 1 D5
148 1 E5
150 2 8A
154 1 E8
155 1 EA
158 2 FC
15A 2 97
15E 1 B8
15F 1 AD
160 2 E6
162 1 DD
163 1 EE
164 2 9B
16E 1 DE
16F 1 85
170 1 EB
171 1 FB
179 1 8D
17A 1 AB
17B 2 BD
17D 2 A6
2C7 1 F3
2D8 1 F4
2D9 1 FA
2DB 1 F2
2DD 1 F1
2500 1 C4
2502 1 B3
250C 1 DA
2510 1 BF
2514 1 C0
2518 1 D9
251C 1 C3
2524 1 B4
252C 1 C2
2534 1 C1
253C 1 C5
2550 1 CD
2551 1 BA
2554 1 C9
2557 1 BB
255A 1 C8
255D 1 BC
2560 1 CC
2563 1 B9
2566 1 CB
2569 1 CA
256C 1 CE
2580 1 DF
2584 1 DC
2588 1 DB
2591 3 B0
25A0 1 FE
