# Describes mapping from Unicode Code pointer to Character code in cp775 (['Baltic languages'])
# [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0 80 0
A0 1 FF
A2 1 96
A3 1 9C
A4 1 9F
A6 1 A7
A7 1 F5
A9 1 A8
AB 1 AE
AC 1 AA
AD 1 F0
AE 1 A9
B0 1 F8
B1 1 F1
B2 1 FD
B3 1 FC
B5 1 E6
B6 1 F4
B7 1 FA
B9 1 FB
BB 1 AF
BC 1 AC
BD 1 AB
BE 1 F3
C4 2 8E
C6 1 92
C9 1 90
D3 1 E0
D5 1 E5
D6 1 99
D7 1 9E
D8 1 9D
DC 1 9A
DF 1 E1
E4 1 84
E5 1 86
E6 1 91
E9 1 82
F3 1 A2
F5 1 E4
F6 1 94
F7 1 F6
F8 1 9B
FC 1 81
100 1 A0
101 1 83
104 1 B5
105 1 D0
106 1 80
107 1 87
10C 1 B6
10D 1 D1
112 1 ED
113 1 89
116 1 B8
117 1 D3
118 1 B7
119 1 D2
122 1 95
123 1 85
12A 1 A1
12B 1 8C
12E 1 BD
12F 1 D4
136 2 E8
13B 2 EA
141 1 AD
142 1 88
143 1 E3
144 1 E7
145 1 EE
146 1 EC
14C 1 E2
14D 1 93
156 2 8A
15A 2 97
160 1 BE
161 1 D5
16A 1 C7
16B 1 D7
172 1 C6
173 1 D6
179 1 8D
17A 1 A5
17B 2 A3
17D 1 CF
17E 1 D8
2019 1 EF
201C 1 F2
201D 1 A6
201E 1 F7
2219 1 F9
2500 1 C4
2502 1 B3
250C 1 DA
2510 1 BF
2514 1 C0
2518 1 D9
251C 1 C3
2524 1 B4
252C 1 C2
2534 1 C1
253C 1 C5
2550 1 CD
2551 1 BA
2554 1 C9
2557 1 BB
255A 1 C8
255D 1 BC
2560 1 CC
2563 1 B9
2566 1 CB
2569 1 CA
256C 1 CE
2580 1 DF
2584 1 DC
2588 1 DB
258C 1 DD
2590 1 DE
2591 3 B0
25A0 1 FE
