# Describes mapping from Unicode Code pointer to Character code in iso8859_15 (['Western Europe'])
# [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0 A4 0
A5 1 A5
A7 1 A7
A9 B A9
B5 3 B5
B9 3 B9
BF 41 BF
152 2 BC
160 1 A6
161 1 A8
178 1 BE
17D 1 B4
17E 1 B8
20AC 1 A4
