# Describes mapping from Unicode Code pointer to Character code in iso8859_7 (['Greek'])
# [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0 A1 0
A3 1 A3
A6 4 A6
AB 3 AB
B0 4 B0
B7 1 B7
BB 1 BB
BD 1 BD
37A 1 AA
384 3 B4
388 3 B8
38C 1 BC
38E 14 BE
3A3 2C D3
2015 1 AF
2018 2 A1
20AC 1 A4
20AF 1 A5
